Order ID,Buyer,Gig Title,Amount,Currency,Date,Type
Not Available,fedagnt,Tip,8.0,USD,2021-03-07,Order Revenue
FO3BEA7DC743,fedagnt,do amazing word art word in shape or typography design,4.0,USD,2021-03-07,Order Revenue
Not Available,fedagnt,Tip,12.0,USD,2021-03-07,Funds Cleared
FO313B977EF87,fedagnt,do amazing word art word in shape or typography design,4.0,USD,2021-03-07,Funds Cleared
FO717CD4305C5,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-03-04,Order Revenue
FO81FBAF62308,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-03-04,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-03-02,Funds Cleared
FO713AD427A03,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-03-02,Funds Cleared
FO71B7EF65647,gregamaya,design an amazing  word art or put words in any shape,4.0,USD,2021-02-25,Funds Cleared
Not Available,cprystan,Tip,6.0,USD,2021-02-24,Funds Cleared
FO517856D5FC7,cprystan,design an amazing  word art or put words in any shape,40.0,USD,2021-02-24,Funds Cleared
Not Available,fedagnt,Tip,12.0,USD,2021-02-23,Order Revenue
FO81BA664ADC6,fedagnt,do amazing word art word in shape or typography design,16.0,USD,2021-02-23,Order Revenue
Not Available,fedagnt,Tip,12.0,USD,2021-02-21,Order Revenue
FO313B977EF87,fedagnt,do amazing word art word in shape or typography design,4.0,USD,2021-02-21,Order Revenue
FO2BBD7F03C4,cprystan,design an amazing  word art or put words in any shape,120.0,USD,2021-02-19,Funds Cleared
FO2BB6E18CC4,cprystan,design an amazing  word art or put words in any shape,20.0,USD,2021-02-16,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-02-16,Order Revenue
FO713AD427A03,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-02-15,Order Revenue
FO71B7EF65647,gregamaya,design an amazing  word art or put words in any shape,4.0,USD,2021-02-11,Order Revenue
Not Available,cprystan,Tip,6.0,USD,2021-02-10,Order Revenue
FO517856D5FC7,cprystan,design an amazing  word art or put words in any shape,40.0,USD,2021-02-07,Order Revenue
FO2BBD7F03C4,cprystan,design an amazing  word art or put words in any shape,120.0,USD,2021-02-04,Order Revenue
FO2BB6E18CC4,cprystan,design an amazing  word art or put words in any shape,20.0,USD,2021-01-30,Order Revenue
Not Available,davenport1989_,Tip,4.0,USD,2021-01-15,Funds Cleared
FO71AF8171C47,davenport1989_,help you in truth table k map binary and circuits topics in dld,16.0,USD,2021-01-15,Funds Cleared
Not Available,davenport1989_,Tip,4.0,USD,2021-01-01,Order Revenue
FO71AF8171C47,davenport1989_,help you in truth table k map binary and circuits topics in dld,16.0,USD,2021-01-01,Order Revenue
